"","player","TVORP","year","time"
"334","odomla01",4.3,2006,"post"
"335","parkesm01",-1.3,2006,"post"
"336","brownkw01",1.2,2006,"post"
"337","vujacsa01",1.95714285714286,2006,"post"
"338","georgde01",0.985714285714286,2006,"post"
"339","cookbr01",0.842857142857143,2006,"post"
"340","turiaro01",-0.133333333333333,2006,"post"
"341","jacksji01",-0.333333333333333,2006,"post"
"342","mckieaa01",-0.3,2006,"post"
"343","bynuman01",-0.9,2006,"post"
"344","odomla01",3.66,2007,"post"
"345","bryanko01",7.24,2007,"post"
"346","brownkw01",-0.66,2007,"post"
"347","willish01",-0.6,2007,"post"
"348","farmajo01",1.1,2007,"post"
"349","waltolu01",0.52,2007,"post"
"350","parkesm01",-0.7,2007,"post"
"351","cookbr01",-1.34,2007,"post"
"352","bynuman01",0.02,2007,"post"
"353","evansma01",0.78,2007,"post"
"354","vujacsa01",-0.1,2007,"post"
"355","turiaro01",-0.025,2007,"post"
"356","gasolpa01",5.07619047619048,2008,"post"
"357","odomla01",3.19047619047619,2008,"post"
"358","bryanko01",7.99047619047619,2008,"post"
"359","fishede01",3.26190476190476,2008,"post"
"360","waltolu01",1.12857142857143,2008,"post"
"361","vujacsa01",0.871428571428571,2008,"post"
"362","radmavl01",1.32380952380952,2008,"post"
"363","farmajo01",0.0428571428571428,2008,"post"
"364","turiaro01",-0.352631578947368,2008,"post"
"365","mbengdj01",0.0285714285714285,2008,"post"
"366","karlco01",0.2,2008,"post"
"367","newblir01",-0.1,2008,"post"
"368","arizatr01",0.675,2008,"post"
"369","mihmch01",-2.7,2008,"post"
"370","bryanko01",9.35652173913044,2009,"post"
"371","gasolpa01",6.10869565217391,2009,"post"
"372","odomla01",3.4304347826087,2009,"post"
"373","arizatr01",3.74347826086957,2009,"post"
"374","fishede01",0.00454545454545457,2009,"post"
"375","brownsh01",0.461904761904762,2009,"post"
"376","bynuman01",-0.747826086956522,2009,"post"
"377","vujacsa01",-0.726086956521739,2009,"post"
"378","waltolu01",0.633333333333333,2009,"post"
"379","poweljo01",-0.05,2009,"post"
"380","farmajo01",0.595,2009,"post"
"381","mbengdj01",-0.571428571428572,2009,"post"
