"","VORP","time"
"724",6.9907063197026,"reg"
"725",11.2907063197026,"reg"
"726",2.7907063197026,"reg"
"727",4.8907063197026,"reg"
"728",-3.3092936802974,"reg"
"729",8.2907063197026,"reg"
"730",-2.6092936802974,"reg"
"731",-0.709293680297398,"reg"
"732",-5.7092936802974,"reg"
"733",7.8907063197026,"reg"
"734",-1.6092936802974,"reg"
"735",8.2907063197026,"reg"
"736",7.4907063197026,"reg"
"737",2.7907063197026,"reg"
"738",2.5907063197026,"reg"
"739",6.9907063197026,"reg"
"740",13.0907063197026,"reg"
"741",1.4907063197026,"reg"
"742",9.8907063197026,"reg"
"743",12.0907063197026,"reg"
"744",1.4907063197026,"reg"
"745",4.4907063197026,"reg"
"746",6.7907063197026,"reg"
"747",7.1907063197026,"reg"
"748",14.3907063197026,"reg"
"749",-1.2092936802974,"reg"
"750",1.0907063197026,"reg"
"751",12.167513368984,"reg"
"752",-8.23248663101604,"reg"
"753",10.367513368984,"reg"
"754",9.06751336898396,"reg"
"755",11.767513368984,"reg"
"756",8.96751336898396,"reg"
"757",1.06751336898396,"reg"
"758",5.56751336898396,"reg"
"759",2.26751336898396,"reg"
"760",1.76751336898396,"reg"
"761",6.06751336898396,"reg"
"762",0.467513368983957,"reg"
"763",7.26751336898396,"reg"
"764",9.36751336898396,"reg"
"765",8.56751336898396,"reg"
"766",11.967513368984,"reg"
"767",4.66751336898396,"reg"
"768",0.0675133689839572,"reg"
"769",7.06751336898396,"reg"
"770",5.66751336898396,"reg"
"771",-3.93248663101604,"reg"
"772",2.46751336898396,"reg"
"773",6.06751336898396,"reg"
"774",-1.03248663101604,"reg"
"775",4.56751336898396,"reg"
"776",9.56751336898396,"reg"
"777",2.86751336898396,"reg"
"778",10.067513368984,"reg"
"779",9.76751336898396,"reg"
"780",9.16751336898396,"reg"
"781",-0.632486631016043,"reg"
"782",3.76751336898396,"reg"
"783",2.16751336898396,"reg"
"784",7.86751336898396,"reg"
"785",15.167513368984,"reg"
"786",9.56751336898396,"reg"
"787",1.26751336898396,"reg"
"788",6.26751336898396,"reg"
"789",4.36751336898396,"reg"
"790",9.56751336898396,"reg"
"791",9.06751336898396,"reg"
"792",8.16751336898396,"reg"
"793",1.46751336898396,"reg"
"794",8.16751336898396,"reg"
"795",2.16751336898396,"reg"
"796",10.867513368984,"reg"
"797",2.06751336898396,"reg"
"798",4.96751336898396,"reg"
"799",14.467513368984,"reg"
"800",2.06751336898396,"reg"
"801",-2.83248663101604,"reg"
"802",11.267513368984,"reg"
"803",1.76751336898396,"reg"
"804",11.167513368984,"reg"
"805",8.06751336898396,"reg"
"806",2.06751336898396,"reg"
"807",-2.73248663101604,"reg"
"808",9.26751336898396,"reg"
"809",2.26751336898396,"reg"
"810",1.16751336898396,"reg"
"811",-0.732486631016043,"reg"
"812",-1.43248663101604,"reg"
"813",6.86751336898396,"reg"
"814",4.56751336898396,"reg"
"815",8.06751336898396,"reg"
"816",8.76751336898396,"reg"
"817",6.16751336898396,"reg"
"818",12.367513368984,"reg"
"819",9.06751336898396,"reg"
"820",-3.43248663101604,"reg"
"821",-4.03248663101604,"reg"
"822",9.96751336898396,"reg"
"823",6.16751336898396,"reg"
"824",1.26751336898396,"reg"
"825",2.46751336898396,"reg"
"826",13.867513368984,"reg"
"827",4.76751336898396,"reg"
"828",0.367513368983957,"reg"
"829",7.36751336898396,"reg"
"830",9.46751336898396,"reg"
"831",3.86751336898396,"reg"
"832",3.96751336898396,"reg"
"833",1.25856209150327,"reg"
"834",10.6585620915033,"reg"
"835",2.25856209150327,"reg"
"836",3.05856209150327,"reg"
"837",6.15856209150327,"reg"
"838",1.95856209150327,"reg"
"839",3.65856209150327,"reg"
"840",8.25856209150327,"reg"
"841",-1.44143790849673,"reg"
"842",-0.541437908496732,"reg"
"843",6.45856209150327,"reg"
"844",7.25856209150327,"reg"
"845",11.3585620915033,"reg"
"846",6.85856209150327,"reg"
"847",-4.34143790849673,"reg"
"848",7.75856209150327,"reg"
