Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
SAS,98,MIN,102,200002270MIN,2000,1,MIN,MIN-2000,4,FALSE,TRUE,TRUE
DAL,108,BOS,100,200002280BOS,2000,0,BOS,BOS-2000,-8,FALSE,TRUE,TRUE
DET,105,IND,115,200002290IND,2000,1,IND,IND-2000,10,FALSE,TRUE,TRUE
LAL,90,POR,87,200002290POR,2000,0,POR,POR-2000,-3,FALSE,TRUE,TRUE
MIA,69,SAS,93,200002290SAS,2000,1,SAS,SAS-2000,24,FALSE,TRUE,TRUE
TOR,96,BOS,94,200003010BOS,2000,0,BOS,BOS-2000,-2,FALSE,TRUE,TRUE
UTA,107,DET,94,200003010DET,2000,0,DET,DET-2000,-13,FALSE,TRUE,TRUE
VAN,91,LAL,103,200003010LAL,2000,1,LAL,LAL-2000,12,FALSE,TRUE,TRUE
MIN,108,SAS,102,200003020SAS,2000,0,SAS,SAS-2000,-6,FALSE,TRUE,TRUE
IND,92,LAL,107,200003030LAL,2000,1,LAL,LAL-2000,15,FALSE,TRUE,TRUE
BOS,104,TOR,114,200003030TOR,2000,1,TOR,TOR-2000,10,FALSE,TRUE,TRUE
SAC,108,SAS,103,200003040SAS,2000,0,SAS,SAS-2000,-5,FALSE,TRUE,TRUE
DET,94,WAS,100,200003040WAS,2000,1,WAS,WAS-2000,6,FALSE,TRUE,TRUE
ORL,91,BOS,97,200003050BOS,2000,1,BOS,BOS-2000,6,FALSE,TRUE,TRUE
MIA,80,LAL,93,200003050LAL,2000,1,LAL,LAL-2000,13,FALSE,TRUE,TRUE
LAL,123,LAC,103,200003060LAC,2000,0,LAC,LAC-2000,-20,FALSE,TRUE,TRUE
NJN,104,SAS,106,200003060SAS,2000,1,SAS,SAS-2000,2,FALSE,TRUE,TRUE
MIL,101,BOS,112,200003080BOS,2000,1,BOS,BOS-2000,11,FALSE,TRUE,TRUE
DEN,116,DET,130,200003080DET,2000,1,DET,DET-2000,14,FALSE,TRUE,TRUE
SAS,105,ATL,79,200003090ATL,2000,0,ATL,ATL-2000,-26,FALSE,TRUE,TRUE
LAL,109,GSW,92,200003090GSW,2000,0,GSW,GSW-2000,-17,FALSE,TRUE,TRUE
CHI,74,BOS,104,200003100BOS,2000,1,BOS,BOS-2000,30,FALSE,TRUE,TRUE
