"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"5721",6128,"MIL",100,"ATL",120,"202111140ATL",2022,0,"MIL","MIL-2022",-20,FALSE
"5722",6129,"GSW",102,"CHO",106,"202111140CHO",2022,1,"CHO","CHH-2022",4,FALSE
"5723",6130,"PHO",115,"HOU",89,"202111140HOU",2022,1,"PHO","PHO-2022",26,FALSE
"5724",6131,"BRK",120,"OKC",96,"202111140OKC",2022,1,"BRK","BRK-2022",24,FALSE
"5725",6132,"POR",95,"DEN",124,"202111140DEN",2022,0,"POR","POR-2022",-29,FALSE
"5726",6133,"CHI",100,"LAC",90,"202111140LAC",2022,1,"CHI","CHI-2022",10,FALSE
"5727",6134,"BOS",98,"CLE",92,"202111150CLE",2022,1,"BOS","BOS-2022",6,FALSE
"5728",6135,"SAC",129,"DET",107,"202111150DET",2022,1,"SAC","SAC-2022",22,FALSE
"5729",6136,"NOP",100,"WAS",105,"202111150WAS",2022,0,"NOP","NOP-2022",-5,FALSE
"5730",6137,"ORL",111,"ATL",129,"202111150ATL",2022,0,"ORL","ORL-2022",-18,FALSE
"5731",6138,"IND",84,"NYK",92,"202111150NYK",2022,0,"IND","IND-2022",-8,FALSE
"5732",6139,"DEN",101,"DAL",111,"202111150DAL",2022,0,"DEN","DEN-2022",-10,FALSE
"5733",6140,"HOU",102,"MEM",136,"202111150MEM",2022,0,"HOU","HOU-2022",-34,FALSE
"5734",6141,"PHO",99,"MIN",96,"202111150MIN",2022,1,"PHO","PHO-2022",3,FALSE
"5735",6142,"MIA",103,"OKC",90,"202111150OKC",2022,1,"MIA","MIA-2022",13,FALSE
"5736",6143,"TOR",113,"POR",118,"202111150POR",2022,0,"TOR","TOR-2022",-5,FALSE
"5737",6144,"CHI",121,"LAL",103,"202111150LAL",2022,1,"CHI","CHI-2022",18,FALSE
"5738",6145,"GSW",117,"BRK",99,"202111160BRK",2022,1,"GSW","GSW-2022",18,FALSE
"5739",6146,"PHI",85,"UTA",120,"202111160UTA",2022,0,"PHI","PHI-2022",-35,FALSE
"5740",6147,"SAS",92,"LAC",106,"202111160LAC",2022,0,"SAS","SAS-2022",-14,FALSE
"5741",6148,"WAS",87,"CHO",97,"202111170CHO",2022,1,"CHO","CHH-2022",10,FALSE
"5742",6149,"IND",89,"DET",97,"202111170DET",2022,0,"IND","IND-2022",-8,FALSE
"5743",6150,"BOS",99,"ATL",110,"202111170ATL",2022,0,"BOS","BOS-2022",-11,FALSE
"5744",6151,"CLE",99,"BRK",109,"202111170BRK",2022,0,"CLE","CLE-2022",-10,FALSE
"5745",6152,"NOP",98,"MIA",113,"202111170MIA",2022,0,"NOP","NOP-2022",-15,FALSE
"5746",6153,"LAL",102,"MIL",109,"202111170MIL",2022,0,"LAL","LAL-2022",-7,FALSE
"5747",6154,"ORL",104,"NYK",98,"202111170NYK",2022,1,"ORL","ORL-2022",6,FALSE
"5748",6155,"SAC",97,"MIN",107,"202111170MIN",2022,0,"SAC","SAC-2022",-10,FALSE
"5749",6156,"HOU",89,"OKC",101,"202111170OKC",2022,0,"HOU","HOU-2022",-12,FALSE
"5750",6157,"DAL",98,"PHO",105,"202111170PHO",2022,0,"DAL","DAL-2022",-7,FALSE
"5751",6158,"CHI",107,"POR",112,"202111170POR",2022,0,"CHI","CHI-2022",-5,FALSE
"5752",6159,"GSW",104,"CLE",89,"202111180CLE",2022,1,"GSW","GSW-2022",15,FALSE
"5753",6160,"WAS",97,"MIA",112,"202111180MIA",2022,0,"WAS","WAS-2022",-15,FALSE
"5754",6161,"LAC",108,"MEM",120,"202111180MEM",2022,0,"LAC","LAC-2022",-12,FALSE
"5755",6162,"SAS",90,"MIN",115,"202111180MIN",2022,0,"SAS","SAS-2022",-25,FALSE
"5756",6163,"PHI",103,"DEN",89,"202111180DEN",2022,1,"PHI","PHI-2022",14,FALSE
"5757",6164,"TOR",103,"UTA",119,"202111180UTA",2022,0,"TOR","TOR-2022",-16,FALSE
"5758",6165,"IND",118,"CHO",121,"202111190CHO",2022,1,"CHO","CHH-2022",3,FALSE
"5759",6166,"GSW",105,"DET",102,"202111190DET",2022,1,"GSW","GSW-2022",3,FALSE
"5760",6167,"LAL",108,"BOS",130,"202111190BOS",2022,0,"LAL","LAL-2022",-22,FALSE
"5761",6168,"ORL",113,"BRK",115,"202111190BRK",2022,0,"ORL","ORL-2022",-2,FALSE
"5762",6169,"OKC",89,"MIL",96,"202111190MIL",2022,0,"OKC","OKC-2022",-7,FALSE
"5763",6170,"LAC",81,"NOP",94,"202111190NOP",2022,0,"LAC","LAC-2022",-13,FALSE
"5764",6171,"CHI",114,"DEN",108,"202111190DEN",2022,1,"CHI","CHI-2022",6,FALSE
"5765",6172,"DAL",104,"PHO",112,"202111190PHO",2022,0,"DAL","DAL-2022",-8,FALSE
"5766",6173,"TOR",108,"SAC",89,"202111190SAC",2022,1,"TOR","TOR-2022",19,FALSE
