"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"368",5896,"MEM",110,"UTA",126,"202106020UTA",2021,0,"MEM","MEM-2021",-16,TRUE
"369",5897,"DAL",105,"LAC",100,"202106020LAC",2021,1,"DAL","DAL-2021",5,TRUE
"370",5898,"DEN",126,"POR",115,"202106030POR",2021,1,"DEN","DEN-2021",11,TRUE
"371",5899,"PHO",113,"LAL",100,"202106030LAL",2021,1,"PHO","PHO-2021",13,TRUE
"372",5900,"LAC",104,"DAL",97,"202106040DAL",2021,1,"LAC","LAC-2021",7,TRUE
"373",5901,"MIL",107,"BRK",115,"202106050BRK",2021,0,"MIL","MIL-2021",-8,TRUE
"374",5902,"ATL",128,"PHI",124,"202106060PHI",2021,1,"ATL","ATL-2021",4,TRUE
"375",5903,"DAL",111,"LAC",126,"202106060LAC",2021,0,"DAL","DAL-2021",-15,TRUE
"376",5904,"MIL",86,"BRK",125,"202106070BRK",2021,0,"MIL","MIL-2021",-39,TRUE
"377",5905,"DEN",105,"PHO",122,"202106070PHO",2021,0,"DEN","DEN-2021",-17,TRUE
"378",5906,"ATL",102,"PHI",118,"202106080PHI",2021,0,"ATL","ATL-2021",-16,TRUE
"379",5907,"LAC",109,"UTA",112,"202106080UTA",2021,0,"LAC","LAC-2021",-3,TRUE
"380",5908,"DEN",98,"PHO",123,"202106090PHO",2021,0,"DEN","DEN-2021",-25,TRUE
"381",5909,"BRK",83,"MIL",86,"202106100MIL",2021,0,"BRK","BRK-2021",-3,TRUE
"382",5910,"LAC",111,"UTA",117,"202106100UTA",2021,0,"LAC","LAC-2021",-6,TRUE
"383",5911,"PHI",127,"ATL",111,"202106110ATL",2021,1,"PHI","PHI-2021",16,TRUE
"384",5912,"PHO",116,"DEN",102,"202106110DEN",2021,1,"PHO","PHO-2021",14,TRUE
"385",5913,"UTA",106,"LAC",132,"202106120LAC",2021,0,"UTA","UTA-2021",-26,TRUE
"386",5914,"BRK",96,"MIL",107,"202106130MIL",2021,0,"BRK","BRK-2021",-11,TRUE
"387",5915,"PHO",125,"DEN",118,"202106130DEN",2021,1,"PHO","PHO-2021",7,TRUE
"388",5916,"PHI",100,"ATL",103,"202106140ATL",2021,0,"PHI","PHI-2021",-3,TRUE
"389",5917,"UTA",104,"LAC",118,"202106140LAC",2021,0,"UTA","UTA-2021",-14,TRUE
"390",5918,"MIL",108,"BRK",114,"202106150BRK",2021,0,"MIL","MIL-2021",-6,TRUE
"391",5919,"ATL",109,"PHI",106,"202106160PHI",2021,1,"ATL","ATL-2021",3,TRUE
"392",5920,"LAC",119,"UTA",111,"202106160UTA",2021,1,"LAC","LAC-2021",8,TRUE
"393",5921,"BRK",89,"MIL",104,"202106170MIL",2021,0,"BRK","BRK-2021",-15,TRUE
"394",5922,"PHI",104,"ATL",99,"202106180ATL",2021,1,"PHI","PHI-2021",5,TRUE
"395",5923,"UTA",119,"LAC",131,"202106180LAC",2021,0,"UTA","UTA-2021",-12,TRUE
"396",5924,"MIL",115,"BRK",111,"202106190BRK",2021,1,"MIL","MIL-2021",4,TRUE
"397",5925,"LAC",114,"PHO",120,"202106200PHO",2021,0,"LAC","LAC-2021",-6,TRUE
"398",5926,"ATL",103,"PHI",96,"202106200PHI",2021,1,"ATL","ATL-2021",7,TRUE
"399",5927,"LAC",103,"PHO",104,"202106220PHO",2021,0,"LAC","LAC-2021",-1,TRUE
"400",5928,"ATL",116,"MIL",113,"202106230MIL",2021,1,"ATL","ATL-2021",3,TRUE
"401",5929,"PHO",92,"LAC",106,"202106240LAC",2021,0,"PHO","PHO-2021",-14,TRUE
"402",5930,"ATL",91,"MIL",125,"202106250MIL",2021,0,"ATL","ATL-2021",-34,TRUE
"403",5931,"PHO",84,"LAC",80,"202106260LAC",2021,1,"PHO","PHO-2021",4,TRUE
"404",5932,"MIL",113,"ATL",102,"202106270ATL",2021,1,"MIL","MIL-2021",11,TRUE
"405",5933,"LAC",116,"PHO",102,"202106280PHO",2021,1,"LAC","LAC-2021",14,TRUE
"406",5934,"MIL",88,"ATL",110,"202106290ATL",2021,0,"MIL","MIL-2021",-22,TRUE
"407",5935,"PHO",130,"LAC",103,"202106300LAC",2021,1,"PHO","PHO-2021",27,TRUE
"408",7172,"UTA",99,"DAL",93,"202204160DAL",2022,1,"UTA","UTA-2022",6,TRUE
"409",7173,"MIN",130,"MEM",117,"202204160MEM",2022,1,"MIN","MIN-2022",13,TRUE
"410",7174,"TOR",111,"PHI",131,"202204160PHI",2022,0,"TOR","TOR-2022",-20,TRUE
"411",7175,"DEN",107,"GSW",123,"202204160GSW",2022,0,"DEN","DEN-2022",-16,TRUE
"412",7176,"ATL",91,"MIA",115,"202204170MIA",2022,0,"ATL","ATL-2022",-24,TRUE
"413",7177,"BRK",114,"BOS",115,"202204170BOS",2022,0,"BRK","BRK-2022",-1,TRUE
"414",7178,"CHI",86,"MIL",93,"202204170MIL",2022,0,"CHI","CHI-2022",-7,TRUE
"415",7179,"NOP",99,"PHO",110,"202204170PHO",2022,0,"NOP","NOP-2022",-11,TRUE
"416",7180,"TOR",97,"PHI",112,"202204180PHI",2022,0,"TOR","TOR-2022",-15,TRUE
"417",7181,"UTA",104,"DAL",110,"202204180DAL",2022,0,"UTA","UTA-2022",-6,TRUE
"418",7182,"DEN",106,"GSW",126,"202204180GSW",2022,0,"DEN","DEN-2022",-20,TRUE
"419",7183,"ATL",105,"MIA",115,"202204190MIA",2022,0,"ATL","ATL-2022",-10,TRUE
"420",7184,"MIN",96,"MEM",124,"202204190MEM",2022,0,"MIN","MIN-2022",-28,TRUE
"421",7185,"NOP",125,"PHO",114,"202204190PHO",2022,1,"NOP","NOP-2022",11,TRUE
"422",7186,"BRK",107,"BOS",114,"202204200BOS",2022,0,"BRK","BRK-2022",-7,TRUE
"423",7187,"PHI",104,"TOR",101,"202204200TOR",2022,1,"PHI","PHI-2022",3,TRUE
"424",7188,"CHI",114,"MIL",110,"202204200MIL",2022,1,"CHI","CHI-2022",4,TRUE
"425",7189,"MEM",104,"MIN",95,"202204210MIN",2022,1,"MEM","MEM-2022",9,TRUE
"426",7190,"DAL",126,"UTA",118,"202204210UTA",2022,1,"DAL","DAL-2022",8,TRUE
"427",7191,"GSW",118,"DEN",113,"202204210DEN",2022,1,"GSW","GSW-2022",5,TRUE
"428",7192,"MIA",110,"ATL",111,"202204220ATL",2022,0,"MIA","MIA-2022",-1,TRUE
"429",7193,"MIL",111,"CHI",81,"202204220CHI",2022,1,"MIL","MIL-2022",30,TRUE
"430",7194,"PHO",114,"NOP",111,"202204220NOP",2022,1,"PHO","PHO-2022",3,TRUE
"431",7195,"PHI",102,"TOR",110,"202204230TOR",2022,0,"PHI","PHI-2022",-8,TRUE
"432",7196,"DAL",99,"UTA",100,"202204230UTA",2022,0,"DAL","DAL-2022",-1,TRUE
"433",7197,"BOS",109,"BRK",103,"202204230BRK",2022,1,"BOS","BOS-2022",6,TRUE
"434",7198,"MEM",118,"MIN",119,"202204230MIN",2022,0,"MEM","MEM-2022",-1,TRUE
"435",7199,"MIL",119,"CHI",95,"202204240CHI",2022,1,"MIL","MIL-2022",24,TRUE
"436",7200,"GSW",121,"DEN",126,"202204240DEN",2022,0,"GSW","GSW-2022",-5,TRUE
"437",7201,"MIA",110,"ATL",86,"202204240ATL",2022,1,"MIA","MIA-2022",24,TRUE
"438",7202,"PHO",103,"NOP",118,"202204240NOP",2022,0,"PHO","PHO-2022",-15,TRUE
"439",7203,"BOS",116,"BRK",112,"202204250BRK",2022,1,"BOS","BOS-2022",4,TRUE
"440",7204,"TOR",103,"PHI",88,"202204250PHI",2022,1,"TOR","TOR-2022",15,TRUE
"441",7205,"UTA",77,"DAL",102,"202204250DAL",2022,0,"UTA","UTA-2022",-25,TRUE
"442",7206,"ATL",94,"MIA",97,"202204260MIA",2022,0,"ATL","ATL-2022",-3,TRUE
"443",7207,"MIN",109,"MEM",111,"202204260MEM",2022,0,"MIN","MIN-2022",-2,TRUE
"444",7208,"NOP",97,"PHO",112,"202204260PHO",2022,0,"NOP","NOP-2022",-15,TRUE
"445",7209,"CHI",100,"MIL",116,"202204270MIL",2022,0,"CHI","CHI-2022",-16,TRUE
"446",7210,"DEN",98,"GSW",102,"202204270GSW",2022,0,"DEN","DEN-2022",-4,TRUE
"447",7211,"PHI",132,"TOR",97,"202204280TOR",2022,1,"PHI","PHI-2022",35,TRUE
